original_cname,mapped_cname
AMS3862,% T PD to T Bal Rev Trades w/Update w/in 3 M
AMS3863,% T PD to T Bal Trades w/Update w/in 3 M
AMS3864,% Trades Always Satis to Trades
AMS3865,% Trades Satis w/in 3 M to Trades Reported w/in 3 M
AMS3866,% Bkcrd Trades Satis w/in 3 M to Bkcrd Trades Reported w/in 3 M
AMS3867,% Dept Store Trades Satis w/in 3 M to Dept Store Trades Reported w/in 3 M
AMS3868,% Inst Trades Satis w/in 3 M to Inst Trades Reported w/in 3 M
AMS3869,% Rev Trades Satis w/in 3 M to Rev Trades Reported w/in 3 M
AMS3870,# Tr Wo Rat 60 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3871,# Tr Wo Rat 90 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3872,# Tr Wo Rat 120-180 or More DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3873,# Bkcrd Tr Wo Rat 60 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3874,# Bkcrd Tr Wo Rat 90 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3875,# Bkcrd Tr Wo Rat 120-180 or More DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3876,# Dept Store Tr Wo Rat 60 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3877,# Dept Store Tr Wo Rat 90 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3878,# Dept Store Tr Wo Rat 120-180 or More DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3879,# Inst Tr Wo Rat 60 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3880,# Inst Tr Wo Rat 90 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3881,# Inst Tr Wo Rat 120-180 or More DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3882,# Retail Tr Wo Rat 60 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3883,# Retail Tr Wo Rat 90 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3884,# Retail Tr Wo Rat 120-180 or More DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3885,# Rev Tr Wo Rat 60 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3886,# Rev Tr Wo Rat 90 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3887,# Rev Tr Wo Rat 120-180 or More DPD or Worse w/in 3 M or MajDerog Event w/in 24 M
AMS3888,# Tr Wo Rat No Worse Than 59 DPD w/in 3 M
AMS3889,# Bkcrd Tr Wo Rat No Worse Than 59 DPD w/in 3 M
AMS3890,# Dept Store Tr Wo Rat No Worse Than 59 DPD w/in 3 M
AMS3891,# Inst Tr Wo Rat No Worse Than 59 DPD w/in 3 M
AMS3892,# Retail Tr Wo Rat No Worse Than 59 DPD w/in 3 M
AMS3893,# Rev Tr Wo Rat No Worse Than 59 DPD w/in 3 M
AMS3894,% Tr Wo Rat 60 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M to Trades Reported w/in 3 M
AMS3895,% Tr Wo Rat 90 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M to Trades Reported w/in 3 M
AMS3896,% Tr Wo Rat 120-180 or More DPD or Worse w/in 3 M or MajDerog Event w/in 24 M to Trades Reported w/in 3 M
AMS3897,% Bkcrd Tr Wo Rat 60 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M to Bkcrd Trades Reported w/in 3 M
AMS3898,% Bkcrd Tr Wo Rat 90 DPD or Worse w/in 3 M or MajDerog Event w/in 24 M to Bkcrd Trades Reported w/in 3 M
AMS3899,% Bkcrd Tr Wo Rat 120-180 or More DPD or Worse w/in 3 M or MajDerog Event w/in 24 M to Bkcrd Trades Reported w/in 3 M
AMS3900,% Satis Bkcrd Trades to T Bkcrd Trades
AMS3901,% Satis Rev Trades to T Rev Trades
AMS3902,Bankruptcy w/in 24 M Flag
AMS3903,Bankruptcy Flag
AMS3904,Foreclosure w/in 24 M Flag
AMS3905,Foreclosure Flag
AMS3907,# 3rd Party Collections w/in 12 M
AMS3908,# 3rd Party Collections w/in 24 M
AMS3909,# 3rd Party Collections
AMS3911,T Collection Amount 3rd Party Collections w/in 12 M
AMS3912,T Collection Amount 3rd Party Collections w/in 24 M
